Date,Start,Visitor,PTS,Home,PTS,OverTime,Winner,Date
18/12/4,7:30p,22,105,5,90,,22,50
18/12/4,8:30p,29,102,12,111,,12,50
18/12/4,9:00p,17,122,24,105,,17,50
18/12/4,9:00p,25,105,10,139,,10,50
18/12/5,7:00p,20,129,7,105,,20,51
18/12/5,7:00p,11,124,22,118,OT,11,51
18/12/5,7:30p,27,131,6,117,,27,51
18/12/5,7:30p,1,114,3,112,,1,51
18/12/5,8:00p,28,86,4,96,,4,51
18/12/5,8:00p,23,92,2,115,,2,51
18/12/5,8:00p,15,104,9,121,,9,51
18/12/5,8:00p,12,106,8,132,,8,51
18/12/5,8:00p,0,102,21,113,,21,51
18/12/5,10:30p,25,113,14,121,,14,51
18/12/6,8:00p,16,100,18,128,,18,52
18/12/6,10:00p,24,86,29,108,,29,52
18/12/6,10:30p,26,91,10,118,,10,52
18/12/7,7:00p,11,107,15,113,,15,53
18/12/7,7:00p,0,117,23,111,,0,53
18/12/7,7:00p,19,112,22,90,,19,53
18/12/7,7:30p,21,105,3,106,OT,3,53
18/12/7,7:30p,17,129,7,110,,17,53
18/12/7,8:00p,1,112,13,114,,13,53
18/12/7,8:00p,4,107,8,103,,4,53
18/12/7,8:30p,14,120,25,133,,25,53
18/12/7,9:00p,5,115,24,98,,5,53
18/12/7,9:30p,20,105,2,95,,20,53
18/12/8,6:00p,26,104,12,107,,12,54
18/12/8,7:00p,17,97,19,107,,19,54
18/12/8,7:30p,11,98,6,106,,6,54
18/12/8,7:30p,27,101,7,116,,7,54
18/12/8,7:30p,3,112,16,104,,3,54
18/12/8,8:00p,18,133,13,77,,18,54
18/12/8,8:00p,14,111,4,88,,14,54
18/12/8,10:00p,9,105,29,113,,29,54
18/12/8,10:30p,5,121,28,98,,5,54
18/12/9,3:30p,8,116,23,108,,8,55
18/12/9,6:00p,2,104,21,99,,2,55
18/12/9,7:00p,10,97,25,110,,25,55
18/12/9,7:30p,15,119,16,107,,15,55
18/12/10,7:00p,27,101,19,109,,19,56
18/12/10,7:00p,23,102,0,116,,0,56
18/12/10,7:30p,8,100,18,113,,18,56
18/12/10,8:00p,17,108,13,89,,17,56
18/12/10,8:00p,7,92,2,108,,2,56
18/12/10,8:00p,10,113,1,122,,1,56
18/12/10,8:30p,22,76,12,101,,12,56
18/12/10,9:00p,4,99,11,105,,11,56
18/12/10,9:00p,28,123,24,119,OT,28,56
18/12/10,10:30p,9,108,20,116,,20,56
18/12/10,10:30p,5,105,14,108,,14,56
18/12/11,8:00p,29,104,26,111,,26,57
18/12/11,8:30p,24,86,25,111,,25,57
18/12/11,10:30p,21,123,28,99,,21,57
18/12/12,7:00p,23,107,15,108,,15,58
18/12/12,7:00p,16,106,7,113,,7,58
18/12/12,7:00p,2,97,19,113,,19,58
18/12/12,7:00p,3,127,0,124,,3,58
18/12/12,7:00p,18,130,27,125,OT,18,58
18/12/12,8:00p,29,83,4,92,,4,58
18/12/12,8:00p,1,114,8,118,,8,58
18/12/12,8:30p,6,107,12,114,,12,58
18/12/12,9:00p,5,84,10,111,,10,58
18/12/12,10:00p,9,130,17,141,,17,58
18/12/12,10:30p,21,113,20,93,,21,58
18/12/13,8:00p,14,111,26,126,,26,59
18/12/13,8:30p,28,87,25,125,,25,59
18/12/13,9:30p,13,91,22,97,,22,59
18/12/13,10:30p,12,89,24,99,,24,59
18/12/14,7:00p,6,108,18,129,,18,60
18/12/14,7:00p,16,126,15,124,OT,16,60
18/12/14,7:30p,27,118,3,125,,3,60
18/12/14,7:30p,2,114,7,102,,2,60
18/12/14,7:30p,19,113,0,101,,19,60
18/12/14,8:00p,5,100,4,97,,5,60
18/12/14,10:00p,1,98,11,109,,11,60
18/12/14,10:00p,21,122,29,128,,29,60
18/12/14,10:00p,20,130,17,125,,20,60
18/12/15,5:00p,10,89,22,96,,22,61
18/12/15,7:00p,14,128,15,100,,14,61
18/12/15,7:00p,18,104,23,113,,23,61
18/12/15,8:00p,26,105,4,97,,26,61
18/12/15,8:30p,13,98,25,93,,13,61
18/12/15,9:00p,28,104,1,110,,1,61
18/12/15,9:00p,9,99,24,107,,24,61
18/12/16,3:00p,6,127,3,144,,3,62
18/12/16,3:30p,0,128,7,105,,0,62
18/12/16,5:00p,16,99,19,110,,19,62
18/12/16,6:00p,14,110,27,128,,27,62
18/12/16,7:00p,17,120,12,113,,17,62
18/12/16,7:00p,5,102,8,96,,5,62
18/12/16,8:00p,21,86,11,95,,11,62
18/12/17,7:00p,2,107,23,104,,2,63
18/12/17,7:30p,24,128,16,110,,24,63
18/12/17,8:00p,10,97,26,102,,26,63
18/12/17,8:00p,17,105,9,132,,9,63
18/12/17,8:00p,13,96,1,121,,1,63
18/12/17,8:30p,0,96,25,123,,25,63
18/12/17,10:30p,4,93,20,110,,20,63
18/12/17,10:30p,29,131,28,127,,29,63
18/12/18,7:00p,7,92,19,91,,7,64
18/12/18,7:30p,27,110,6,118,,6,64
18/12/18,7:30p,14,110,3,115,,3,64
18/12/18,9:00p,12,118,11,126,,11,64
18/12/19,7:00p,7,99,15,110,,15,65
18/12/19,7:00p,25,129,22,90,,25,65
18/12/19,7:00p,16,109,0,131,,0,65
18/12/19,7:30p,24,111,18,103,,24,65
18/12/19,7:30p,19,96,21,99,,21,65
18/12/19,8:00p,3,96,13,93,,3,65
18/12/19,8:00p,27,118,26,136,,26,65
18/12/19,8:00p,8,115,2,123,,2,65
18/12/19,8:00p,23,129,9,123,OT,23,65
18/12/19,9:00p,20,103,10,108,,10,65
18/12/19,10:00p,4,92,29,99,,29,65
18/12/19,10:00p,1,132,17,113,,1,65
18/12/20,8:00p,26,99,5,101,,5,66
18/12/20,10:30p,12,121,28,125,,28,66
18/12/21,7:00p,23,86,15,98,,15,67
18/12/21,7:00p,7,110,21,126,,21,67
18/12/21,7:30p,19,114,3,106,,19,67
